model_method,example_id,reason,text
BanglaBERT_SHAP,2179,"subword_count_mismatch (subwords=126, tokens=298)",কত্গনটপত্ ন্মবিচটগকতবদদত্বট তিক্ম তিচ্কবম মনব্হি ট...
BanglaBERT_SHAP,2269,"subword_count_mismatch (subwords=126, tokens=127)",ভিডিও টি খুবি সুন্দর হয়েছে ধন্যবাদ এত সুন্দর একটি ...
BanglaBERT_SHAP,2294,"subword_count_mismatch (subwords=126, tokens=249)",যাহারা এই বাচ্চা পোলা পানের ভিডিও দেখে আত্মহারা হচ...
BanglaBERT_SHAP,2315,"subword_count_mismatch (subwords=126, tokens=139)",হুজুর আমি অনেক ভালো হতে চাই আমার খুব ইচ্ছা যে ঘরে ...
BanglaBERT_SHAP,2326,"subword_count_mismatch (subwords=11, tokens=12)",��কে কে �আমার মতো সত্যকে ভালোবাসেন।লাইক দিয়ে যান।�...
BanglaBERT_SHAP,2559,"subword_count_mismatch (subwords=8, tokens=9)",‌সেলুট ফারহানা অাপু‌কে ।
BanglaBERT_SHAP,2569,"subword_count_mismatch (subwords=1, tokens=2)",��� কুকুর ���
BanglaBERT_SHAP,2696,"subword_count_mismatch (subwords=126, tokens=133)",কখনো ভাবিনি যে আপনে একটা জাতি বা কিছু শাসক গোষ্ঠীর...
BanglaBERT_SHAP,2718,"subword_count_mismatch (subwords=126, tokens=228)",জাতি আজ ঘুমন্ত। তাই এক শ্রেণীর লোক জিয়াউর রহমানের ...
BanglaBERT_SHAP,2760,"subword_count_mismatch (subwords=126, tokens=225)",স্যার আজ কাল- আপনার বাবা কে ও অনেকে রাজাকার বলে- ত...
BanglaBERT_SHAP,3931,"subword_count_mismatch (subwords=126, tokens=183)",আজকে মুসলমান আছে তাদের উপর অত্যাচার চালাচ্ছে এই সর...
BanglaBERT_SHAP,4305,"subword_count_mismatch (subwords=126, tokens=391)",কি করলে বা কি খেলে আপনার বান্দাত্ত দূর হবে মাসের ম...
BanglaBERT_SHAP,4925,"subword_count_mismatch (subwords=16, tokens=17)",‌‌‌‌‌সব ঠিক আছে কিন্তু ও কি দিয়েছই রকম ঠিক নয় করতে...
XLM-R_IG,1179,"subword_count_mismatch (subwords=42, tokens=43)","বন্ধুরা, বাংলা নাটকের সাথে থাকুন, <br />বাংলা নাটক..."
XLM-R_IG,2757,"subword_count_mismatch (subwords=19, tokens=20)",সিলেটে খুব বৃষ্টি হচ্ছে। মধ্যরাতে পপকর্ণটাও মিস কর...
XLM-R_IG,2769,"subword_count_mismatch (subwords=23, tokens=24)","স্যার সত্যি করে বলেন তো - আপনার আসল কি "" মীরজাফর ই..."
XLM-R_SHAP,3,"subword_count_mismatch (subwords=126, tokens=360)",আওয়ামীলীগ ভারতের দালাল। মোদি নির্বাচিত হওয়ার পর এক...
XLM-R_SHAP,166,"subword_count_mismatch (subwords=126, tokens=146)",প্রত্যয় হীরণ হতে চেয়েছো বেটা নাহিদ? বোকাচোদা নাহিদ...
XLM-R_SHAP,167,"subword_count_mismatch (subwords=126, tokens=387)",প্রত্যাখান তো করেছে না কি এই শুয়োরের বাচ্চারা আইসি...
XLM-R_SHAP,274,"subword_count_mismatch (subwords=24, tokens=25)",���� বিশ্বাস করেন অনকে কেঁদে ছি সাকিব ভাইয়ে জন্য��...
XLM-R_SHAP,472,"subword_count_mismatch (subwords=126, tokens=603)",বাংলাদেশ অাওয়ামীলীগের চার বারের সফল সাধারণ সম্পাদক...
XLM-R_SHAP,517,"subword_count_mismatch (subwords=126, tokens=227)",মানসিক দুর্বলতা আছে।বাংলাদেশ এর দলের স্পিনাররা ফ্ল...
XLM-R_SHAP,532,"subword_count_mismatch (subwords=126, tokens=148)",যারা অনলাইনে বেটিং করতে চান বা ক্রিকেট ফুটবল সহ অন...
XLM-R_SHAP,602,"subword_count_mismatch (subwords=12, tokens=13)",����এই বয়সে না করলে কি বুড়ো বয়সে করবে������
XLM-R_SHAP,802,"subword_count_mismatch (subwords=11, tokens=12)",‌বিচারক না ওরা মাগীর বাচ্ছা
XLM-R_SHAP,866,"subword_count_mismatch (subwords=126, tokens=182)",শবনম ফারিয়া ওরপে পাদিয়া আমি যদি তোদের এই সো থেকে য...
XLM-R_SHAP,927,"subword_count_mismatch (subwords=24, tokens=25)",� পৃথিবীর সকল মুসলমানের মৃত্যু যেন কলেমা পড়ে হয়।...
XLM-R_SHAP,1043,"subword_count_mismatch (subwords=126, tokens=250)",কবিরাজ আলহাজ্ব আলতাফ হোসেন আজাদী চ্যালেঞ্জ।সরাসরি ...
XLM-R_SHAP,1082,"subword_count_mismatch (subwords=126, tokens=234)",চ্যানেল আই কে উদ্দেশ্য করে বলতেছি আপনারা যাদের জাজ...
XLM-R_SHAP,1179,"subword_count_mismatch (subwords=42, tokens=43)","বন্ধুরা, বাংলা নাটকের সাথে থাকুন, <br />বাংলা নাটক..."
XLM-R_SHAP,1198,"subword_count_mismatch (subwords=126, tokens=153)",বিচারকদের চেয়ে উপস্থাপিকার সাধারন জ্ঞান এবং ভদ্রত...
XLM-R_SHAP,1298,"subword_count_mismatch (subwords=126, tokens=382)",এটাই তো এখনার জুগের মেয়েরা বুঝে না যে তাদের সাধিনত...
XLM-R_SHAP,1304,"subword_count_mismatch (subwords=126, tokens=159)",অবিষপ্ত মিন্নি। ফজলুল হক হেলাল। উরুম ধুরুম মার খায়...
XLM-R_SHAP,1409,"subword_count_mismatch (subwords=126, tokens=297)",ডিসি ষাঁড়ের ইন্টারভিউ এই ভিডিওগুলো কি আপনার ষাড় ...
XLM-R_SHAP,1492,"subword_count_mismatch (subwords=126, tokens=517)",মুসলিম হোক যাই হোক আমরা তো সবাই মানুষ ��ভিডিওটি দে...
XLM-R_SHAP,1530,"subword_count_mismatch (subwords=126, tokens=217)",স্যারের দোষ দিবি কেমনে তুই তোর মতো তেঁতুল দেখলে কা...
XLM-R_SHAP,1560,"subword_count_mismatch (subwords=126, tokens=132)",আমি বলি জে সম্পূর্ণ ভাবে মিন্নি জরিত আছে কারন যখন ...
XLM-R_SHAP,1570,"subword_count_mismatch (subwords=126, tokens=174)",আসলে মিন্নির এরকম ভাবা পিছনে হাটা টা সন্দেহ জনক কি...
XLM-R_SHAP,1619,"subword_count_mismatch (subwords=126, tokens=162)",এরা কি জানেনা কার জন্য কান্না করছে নুছরাতকে কি ভয়ং...
XLM-R_SHAP,1636,"subword_count_mismatch (subwords=126, tokens=371)",কেউ দৌড়ে পালায় নিজের আত্মসম্ভ্রম আত্মসম্মান কিংবা ...
XLM-R_SHAP,1693,"subword_count_mismatch (subwords=126, tokens=140)",প্রকাশ্য দিবালোকে এই নির্মম হত্যাকান্ড যারা ঘটিয়েছ...
XLM-R_SHAP,1709,"subword_count_mismatch (subwords=126, tokens=132)",বিনা কাপড়ে যে আপনার নয়নের ছবি ভাইরাল হয়েছে এইগুলা ...
XLM-R_SHAP,1725,"subword_count_mismatch (subwords=126, tokens=285)",মদ ও জুয়া সম্পর্কে আল্লাহ পাক কি বলেছেন বলেছেন ? ...
XLM-R_SHAP,1759,"subword_count_mismatch (subwords=126, tokens=276)",রাজার দূষে রাজ্য নষ্ট প্রজা কষ্ট পায়। এ কথাটা যোগ ...
XLM-R_SHAP,1802,"subword_count_mismatch (subwords=24, tokens=25)",� খেয়েছে কে আর � প্রদানকারীর আজ কি হাল ! � বাংলাদে...
XLM-R_SHAP,1853,"subword_count_mismatch (subwords=126, tokens=134)",এই ভন্ডদের মুখোশ খুলে ফেলার জন্য আর সাধারণ জনগণকে ...
XLM-R_SHAP,2071,"subword_count_mismatch (subwords=126, tokens=463)",সত্য মিথ্যা যাচাই করে প্রচার করা উচিত। এই ভিডিও তে...
XLM-R_SHAP,2163,"subword_count_mismatch (subwords=126, tokens=259)",এখানে হয়তবা মানুষ কিছু দুনিয়াবি ফায়দা পাচ্ছে ও হয়ত...
XLM-R_SHAP,2179,"subword_count_mismatch (subwords=126, tokens=391)",কত্গনটপত্ ন্মবিচটগকতবদদত্বট তিক্ম তিচ্কবম মনব্হি ট...
XLM-R_SHAP,2269,"subword_count_mismatch (subwords=126, tokens=203)",ভিডিও টি খুবি সুন্দর হয়েছে ধন্যবাদ এত সুন্দর একটি ...
XLM-R_SHAP,2294,"subword_count_mismatch (subwords=126, tokens=391)",যাহারা এই বাচ্চা পোলা পানের ভিডিও দেখে আত্মহারা হচ...
XLM-R_SHAP,2304,"subword_count_mismatch (subwords=126, tokens=213)",সম্মানিত ভিউওয়ার্স ভাইদের বলছি এই এডমিন ইউহুদি কৃষ...
XLM-R_SHAP,2315,"subword_count_mismatch (subwords=126, tokens=196)",হুজুর আমি অনেক ভালো হতে চাই আমার খুব ইচ্ছা যে ঘরে ...
XLM-R_SHAP,2326,"subword_count_mismatch (subwords=14, tokens=15)",��কে কে �আমার মতো সত্যকে ভালোবাসেন।লাইক দিয়ে যান।�...
XLM-R_SHAP,2518,"subword_count_mismatch (subwords=126, tokens=135)",বংগ বন্দুকে হতা করে মেজর জিয়া খমতায় আসে শিয়ালে চুর...
XLM-R_SHAP,2559,"subword_count_mismatch (subwords=12, tokens=13)",‌সেলুট ফারহানা অাপু‌কে ।
XLM-R_SHAP,2569,"subword_count_mismatch (subwords=2, tokens=3)",��� কুকুর ���
XLM-R_SHAP,2606,"subword_count_mismatch (subwords=126, tokens=130)",জাফর সাহেব একাত্তরে সেলুনে সামনে রাজাকার পেয়ে হর হ...
XLM-R_SHAP,2632,"subword_count_mismatch (subwords=126, tokens=176)",সরি টু সে ! ১। এতোদিন জামাত-শিবির-বিএনপি নেতা কর্ম...
XLM-R_SHAP,2633,"subword_count_mismatch (subwords=126, tokens=140)",স্যার নাকি লিখে নাই৷ নববর্ষের শুভেচ্ছা জানিয়ে লেখা...
XLM-R_SHAP,2641,"subword_count_mismatch (subwords=126, tokens=167)","""...আমি একবারও বলিনি এই দেশের কোনো সমস্যা নেই - এই..."
XLM-R_SHAP,2674,"subword_count_mismatch (subwords=126, tokens=137)",আয়নায় নি‌জের চেহারা দেখুন জনাব। আপ‌নি যে বু‌দ্ধিজী...
XLM-R_SHAP,2688,"subword_count_mismatch (subwords=126, tokens=170)",একসময় মনে হতো জাফর ইকবাল স্যার'দের মতো মানুষগুলো ১...
XLM-R_SHAP,2696,"subword_count_mismatch (subwords=126, tokens=192)",কখনো ভাবিনি যে আপনে একটা জাতি বা কিছু শাসক গোষ্ঠীর...
XLM-R_SHAP,2717,"subword_count_mismatch (subwords=126, tokens=170)",জবাব দিবেন। ১) প্রশ্ন ফাস নিয়ে আপনি কি করেছেন? ২) ...
XLM-R_SHAP,2718,"subword_count_mismatch (subwords=126, tokens=333)",জাতি আজ ঘুমন্ত। তাই এক শ্রেণীর লোক জিয়াউর রহমানের ...
XLM-R_SHAP,2721,"subword_count_mismatch (subwords=126, tokens=149)","জীবনে ১ বারই কোচিং এ গিয়েছিলাম। ৭ম শ্রেনীতে, ১২ দি..."
XLM-R_SHAP,2749,"subword_count_mismatch (subwords=126, tokens=130)",যাঁর লেখায় শৈশব কৈশোর কেটেছিল মোহজাগানিয়া অদ্ভুত...
XLM-R_SHAP,2757,"subword_count_mismatch (subwords=19, tokens=20)",সিলেটে খুব বৃষ্টি হচ্ছে। মধ্যরাতে পপকর্ণটাও মিস কর...
XLM-R_SHAP,2760,"subword_count_mismatch (subwords=126, tokens=321)",স্যার আজ কাল- আপনার বাবা কে ও অনেকে রাজাকার বলে- ত...
XLM-R_SHAP,2769,"subword_count_mismatch (subwords=23, tokens=24)","স্যার সত্যি করে বলেন তো - আপনার আসল কি "" মীরজাফর ই..."
XLM-R_SHAP,2780,"subword_count_mismatch (subwords=126, tokens=199)",অপপ্রচার হিন্দুরা আক্রমণকারি নয় হিন্দু শয়তানের ব...
XLM-R_SHAP,2828,"subword_count_mismatch (subwords=126, tokens=133)",আমি তসলিমা নাসরিন এর সাথে সেক্স করতে চাই জানি না আ...
XLM-R_SHAP,2973,"subword_count_mismatch (subwords=126, tokens=129)",এই রকম কুলাঙ্গার খুঁজলে বহু পাওয়া যাবে একজন অসহায...
XLM-R_SHAP,3142,"subword_count_mismatch (subwords=126, tokens=164)",কিরে কুত্তি মাগীতোরে মনে হয় মোদী ভালো করে চুদে দিছ...
XLM-R_SHAP,3626,"subword_count_mismatch (subwords=126, tokens=129)",মাদারদ তোরে পাইলে রাস্তায় জনগণের সামনে কুত্তার মত...
XLM-R_SHAP,3634,"subword_count_mismatch (subwords=126, tokens=165)",মার মার মারতেই থাক এইটা বাপ নামের কলংক এইসব কুত্তা...
XLM-R_SHAP,3875,"subword_count_mismatch (subwords=126, tokens=164)",অতিনন্দ্রদা আপনি জানেন ভালো কাজে অনেক বাধা আসে আর ...
XLM-R_SHAP,3931,"subword_count_mismatch (subwords=126, tokens=285)",আজকে মুসলমান আছে তাদের উপর অত্যাচার চালাচ্ছে এই সর...
XLM-R_SHAP,4074,"subword_count_mismatch (subwords=126, tokens=147)",আমেরিকার উচিৎ ভারত পাকিস্তান আর চীন এই তিন দেশ থেক...
XLM-R_SHAP,4208,"subword_count_mismatch (subwords=126, tokens=169)",এটাও তো ঠিক যে বিল কে বর্তমান দেশ জুড়ে অর্থনৈতিক স...
XLM-R_SHAP,4286,"subword_count_mismatch (subwords=126, tokens=130)",কখনো ভারত ছারা কথা বলেছেন জেমন মিযানমারচিন পাকিশতা...
XLM-R_SHAP,4305,"subword_count_mismatch (subwords=126, tokens=579)",কি করলে বা কি খেলে আপনার বান্দাত্ত দূর হবে মাসের ম...
XLM-R_SHAP,4389,"subword_count_mismatch (subwords=126, tokens=190)",জাতে মাতাল হিন্দু রা বলার মানে কি হারামজাদী মুসলমা...
XLM-R_SHAP,4814,"subword_count_mismatch (subwords=126, tokens=147)",যদি মুসলিম রা বাবরি মসজিদ কে বৈধ মনে করেন তাহলে আম...
XLM-R_SHAP,4925,"subword_count_mismatch (subwords=20, tokens=21)",‌‌‌‌‌সব ঠিক আছে কিন্তু ও কি দিয়েছই রকম ঠিক নয় করতে...
XLM-R_SHAP,5020,"subword_count_mismatch (subwords=126, tokens=177)",হিন্দু সম্প্রদায়ের মানুষেরা নিবোধ# অার মুখ#যে রাম ...
