example_id,model,method,warning_type,details
44,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=27"
45,BanglaBERT,IG,token_count_mismatch,"tokens=8, attributions=0"
46,BanglaBERT,IG,token_count_mismatch,"tokens=10, attributions=0"
46,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.20, original_words=5, reconstructed=5"
46,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=10"
47,BanglaBERT,IG,token_count_mismatch,"tokens=13, attributions=0"
47,BanglaBERT,IG,unk_token,"unk_count=3, total_tokens=13"
48,BanglaBERT,IG,token_count_mismatch,"tokens=56, attributions=0"
48,BanglaBERT,IG,unk_token,"unk_count=4, total_tokens=56"
49,BanglaBERT,IG,token_count_mismatch,"tokens=26, attributions=0"
50,BanglaBERT,IG,token_count_mismatch,"tokens=13, attributions=0"
50,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=13"
51,BanglaBERT,IG,token_count_mismatch,"tokens=13, attributions=0"
51,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.20, original_words=5, reconstructed=5"
51,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=13"
52,BanglaBERT,IG,token_count_mismatch,"tokens=30, attributions=0"
53,BanglaBERT,IG,token_count_mismatch,"tokens=9, attributions=0"
53,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=9"
54,BanglaBERT,IG,token_count_mismatch,"tokens=29, attributions=0"
55,BanglaBERT,IG,token_count_mismatch,"tokens=6, attributions=0"
55,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.00, original_words=2, reconstructed=3"
56,BanglaBERT,IG,token_count_mismatch,"tokens=18, attributions=0"
57,BanglaBERT,IG,token_count_mismatch,"tokens=8, attributions=0"
57,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.33, original_words=3, reconstructed=5"
58,BanglaBERT,IG,token_count_mismatch,"tokens=9, attributions=0"
58,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.00, original_words=3, reconstructed=7"
59,BanglaBERT,IG,token_count_mismatch,"tokens=63, attributions=0"
60,BanglaBERT,IG,token_count_mismatch,"tokens=25, attributions=0"
60,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=25"
61,BanglaBERT,IG,token_count_mismatch,"tokens=14, attributions=0"
62,BanglaBERT,IG,token_count_mismatch,"tokens=8, attributions=0"
62,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.33, original_words=3, reconstructed=5"
63,BanglaBERT,IG,token_count_mismatch,"tokens=40, attributions=0"
63,BanglaBERT,IG,unk_token,"unk_count=5, total_tokens=40"
64,BanglaBERT,IG,token_count_mismatch,"tokens=44, attributions=0"
65,BanglaBERT,IG,token_count_mismatch,"tokens=21, attributions=0"
65,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=21"
66,BanglaBERT,IG,token_count_mismatch,"tokens=11, attributions=0"
66,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=11"
67,BanglaBERT,IG,token_count_mismatch,"tokens=48, attributions=0"
67,BanglaBERT,IG,unk_token,"unk_count=6, total_tokens=48"
68,BanglaBERT,IG,token_count_mismatch,"tokens=47, attributions=0"
68,BanglaBERT,IG,unk_token,"unk_count=7, total_tokens=47"
69,BanglaBERT,IG,token_count_mismatch,"tokens=10, attributions=0"
69,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.25, original_words=4, reconstructed=7"
70,BanglaBERT,IG,token_count_mismatch,"tokens=10, attributions=0"
70,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.33, original_words=6, reconstructed=4"
70,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=10"
71,BanglaBERT,IG,token_count_mismatch,"tokens=7, attributions=0"
72,BanglaBERT,IG,token_count_mismatch,"tokens=16, attributions=0"
73,BanglaBERT,IG,token_count_mismatch,"tokens=11, attributions=0"
73,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.40, original_words=5, reconstructed=6"
73,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=11"
74,BanglaBERT,IG,token_count_mismatch,"tokens=8, attributions=0"
75,BanglaBERT,IG,token_count_mismatch,"tokens=9, attributions=0"
76,BanglaBERT,IG,token_count_mismatch,"tokens=7, attributions=0"
77,BanglaBERT,IG,token_count_mismatch,"tokens=5, attributions=0"
78,BanglaBERT,IG,token_count_mismatch,"tokens=11, attributions=0"
78,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=11"
79,BanglaBERT,IG,token_count_mismatch,"tokens=4, attributions=0"
80,BanglaBERT,IG,token_count_mismatch,"tokens=23, attributions=0"
80,BanglaBERT,IG,unk_token,"unk_count=3, total_tokens=23"
81,BanglaBERT,IG,token_count_mismatch,"tokens=5, attributions=0"
82,BanglaBERT,IG,token_count_mismatch,"tokens=40, attributions=0"
82,BanglaBERT,IG,unk_token,"unk_count=6, total_tokens=40"
83,BanglaBERT,IG,token_count_mismatch,"tokens=8, attributions=0"
83,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.25, original_words=4, reconstructed=5"
83,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=8"
84,BanglaBERT,IG,token_count_mismatch,"tokens=13, attributions=0"
84,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.17, original_words=6, reconstructed=9"
84,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=13"
85,BanglaBERT,IG,token_count_mismatch,"tokens=23, attributions=0"
85,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=23"
86,BanglaBERT,IG,token_count_mismatch,"tokens=22, attributions=0"
86,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=22"
87,BanglaBERT,IG,token_count_mismatch,"tokens=10, attributions=0"
88,BanglaBERT,IG,token_count_mismatch,"tokens=15, attributions=0"
89,BanglaBERT,IG,token_count_mismatch,"tokens=15, attributions=0"
90,BanglaBERT,IG,token_count_mismatch,"tokens=24, attributions=0"
90,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.33, original_words=12, reconstructed=17"
90,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=24"
91,BanglaBERT,IG,token_count_mismatch,"tokens=9, attributions=0"
91,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.40, original_words=5, reconstructed=4"
91,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=9"
92,BanglaBERT,IG,token_count_mismatch,"tokens=16, attributions=0"
93,BanglaBERT,IG,token_count_mismatch,"tokens=29, attributions=0"
93,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.39, original_words=18, reconstructed=21"
93,BanglaBERT,IG,unk_token,"unk_count=4, total_tokens=29"
94,BanglaBERT,IG,token_count_mismatch,"tokens=9, attributions=0"
95,BanglaBERT,IG,token_count_mismatch,"tokens=9, attributions=0"
96,BanglaBERT,IG,token_count_mismatch,"tokens=6, attributions=0"
97,BanglaBERT,IG,token_count_mismatch,"tokens=32, attributions=0"
97,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=32"
98,BanglaBERT,IG,token_count_mismatch,"tokens=11, attributions=0"
99,BanglaBERT,IG,token_count_mismatch,"tokens=17, attributions=0"
99,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=17"
100,BanglaBERT,IG,token_count_mismatch,"tokens=36, attributions=0"
101,BanglaBERT,IG,token_count_mismatch,"tokens=14, attributions=0"
102,BanglaBERT,IG,token_count_mismatch,"tokens=15, attributions=0"
102,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=15"
103,BanglaBERT,IG,token_count_mismatch,"tokens=14, attributions=0"
104,BanglaBERT,IG,token_count_mismatch,"tokens=68, attributions=0"
105,BanglaBERT,IG,token_count_mismatch,"tokens=4, attributions=0"
105,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.00, original_words=2, reconstructed=0"
105,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=4"
106,BanglaBERT,IG,token_count_mismatch,"tokens=8, attributions=0"
107,BanglaBERT,IG,token_count_mismatch,"tokens=13, attributions=0"
107,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=13"
108,BanglaBERT,IG,token_count_mismatch,"tokens=23, attributions=0"
108,BanglaBERT,IG,unk_token,"unk_count=4, total_tokens=23"
109,BanglaBERT,IG,token_count_mismatch,"tokens=23, attributions=0"
109,BanglaBERT,IG,unk_token,"unk_count=3, total_tokens=23"
110,BanglaBERT,IG,token_count_mismatch,"tokens=13, attributions=0"
111,BanglaBERT,IG,token_count_mismatch,"tokens=59, attributions=0"
112,BanglaBERT,IG,token_count_mismatch,"tokens=17, attributions=0"
112,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=17"
113,BanglaBERT,IG,token_count_mismatch,"tokens=16, attributions=0"
114,BanglaBERT,IG,token_count_mismatch,"tokens=11, attributions=0"
114,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.00, original_words=4, reconstructed=8"
115,BanglaBERT,IG,token_count_mismatch,"tokens=15, attributions=0"
115,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.38, original_words=8, reconstructed=10"
116,BanglaBERT,IG,token_count_mismatch,"tokens=19, attributions=0"
117,BanglaBERT,IG,token_count_mismatch,"tokens=18, attributions=0"
118,BanglaBERT,IG,token_count_mismatch,"tokens=56, attributions=0"
118,BanglaBERT,IG,unk_token,"unk_count=6, total_tokens=56"
119,BanglaBERT,IG,token_count_mismatch,"tokens=25, attributions=0"
119,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.46, original_words=13, reconstructed=17"
119,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=25"
120,BanglaBERT,IG,token_count_mismatch,"tokens=11, attributions=0"
121,BanglaBERT,IG,token_count_mismatch,"tokens=7, attributions=0"
122,BanglaBERT,IG,token_count_mismatch,"tokens=51, attributions=0"
123,BanglaBERT,IG,token_count_mismatch,"tokens=11, attributions=0"
123,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.20, original_words=5, reconstructed=9"
124,BanglaBERT,IG,token_count_mismatch,"tokens=4, attributions=0"
125,BanglaBERT,IG,token_count_mismatch,"tokens=18, attributions=0"
125,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.30, original_words=10, reconstructed=12"
125,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=18"
126,BanglaBERT,IG,token_count_mismatch,"tokens=18, attributions=0"
127,BanglaBERT,IG,token_count_mismatch,"tokens=40, attributions=0"
127,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=40"
128,BanglaBERT,IG,token_count_mismatch,"tokens=8, attributions=0"
129,BanglaBERT,IG,token_count_mismatch,"tokens=32, attributions=0"
130,BanglaBERT,IG,token_count_mismatch,"tokens=23, attributions=0"
130,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=23"
131,BanglaBERT,IG,token_count_mismatch,"tokens=51, attributions=0"
131,BanglaBERT,IG,unk_token,"unk_count=3, total_tokens=51"
132,BanglaBERT,IG,token_count_mismatch,"tokens=36, attributions=0"
132,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=36"
133,BanglaBERT,IG,token_count_mismatch,"tokens=21, attributions=0"
133,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.45, original_words=11, reconstructed=17"
134,BanglaBERT,IG,token_count_mismatch,"tokens=11, attributions=0"
134,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.20, original_words=5, reconstructed=7"
135,BanglaBERT,IG,token_count_mismatch,"tokens=26, attributions=0"
135,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.47, original_words=15, reconstructed=22"
136,BanglaBERT,IG,token_count_mismatch,"tokens=21, attributions=0"
137,BanglaBERT,IG,token_count_mismatch,"tokens=10, attributions=0"
138,BanglaBERT,IG,token_count_mismatch,"tokens=8, attributions=0"
139,BanglaBERT,IG,token_count_mismatch,"tokens=12, attributions=0"
140,BanglaBERT,IG,token_count_mismatch,"tokens=7, attributions=0"
140,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.33, original_words=3, reconstructed=4"
141,BanglaBERT,IG,token_count_mismatch,"tokens=28, attributions=0"
141,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=28"
142,BanglaBERT,IG,token_count_mismatch,"tokens=17, attributions=0"
143,BanglaBERT,IG,token_count_mismatch,"tokens=65, attributions=0"
144,BanglaBERT,IG,token_count_mismatch,"tokens=81, attributions=0"
144,BanglaBERT,IG,unk_token,"unk_count=10, total_tokens=81"
145,BanglaBERT,IG,token_count_mismatch,"tokens=6, attributions=0"
146,BanglaBERT,IG,token_count_mismatch,"tokens=10, attributions=0"
146,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.00, original_words=3, reconstructed=7"
147,BanglaBERT,IG,token_count_mismatch,"tokens=7, attributions=0"
147,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.00, original_words=2, reconstructed=5"
148,BanglaBERT,IG,token_count_mismatch,"tokens=8, attributions=0"
148,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=8"
149,BanglaBERT,IG,token_count_mismatch,"tokens=9, attributions=0"
150,BanglaBERT,IG,token_count_mismatch,"tokens=8, attributions=0"
150,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.00, original_words=3, reconstructed=5"
150,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=8"
151,BanglaBERT,IG,token_count_mismatch,"tokens=9, attributions=0"
151,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.25, original_words=4, reconstructed=6"
152,BanglaBERT,IG,token_count_mismatch,"tokens=16, attributions=0"
152,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.38, original_words=8, reconstructed=11"
152,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=16"
153,BanglaBERT,IG,token_count_mismatch,"tokens=9, attributions=0"
153,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.40, original_words=5, reconstructed=6"
153,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=9"
154,BanglaBERT,IG,token_count_mismatch,"tokens=27, attributions=0"
155,BanglaBERT,IG,token_count_mismatch,"tokens=9, attributions=0"
155,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.33, original_words=3, reconstructed=7"
156,BanglaBERT,IG,token_count_mismatch,"tokens=10, attributions=0"
157,BanglaBERT,IG,token_count_mismatch,"tokens=12, attributions=0"
157,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.25, original_words=4, reconstructed=7"
158,BanglaBERT,IG,token_count_mismatch,"tokens=7, attributions=0"
158,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.33, original_words=3, reconstructed=4"
159,BanglaBERT,IG,token_count_mismatch,"tokens=9, attributions=0"
159,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.25, original_words=4, reconstructed=6"
160,BanglaBERT,IG,token_count_mismatch,"tokens=14, attributions=0"
160,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=14"
161,BanglaBERT,IG,token_count_mismatch,"tokens=34, attributions=0"
161,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=34"
162,BanglaBERT,IG,token_count_mismatch,"tokens=14, attributions=0"
162,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.29, original_words=7, reconstructed=10"
162,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=14"
163,BanglaBERT,IG,token_count_mismatch,"tokens=8, attributions=0"
164,BanglaBERT,IG,token_count_mismatch,"tokens=18, attributions=0"
164,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=18"
165,BanglaBERT,IG,token_count_mismatch,"tokens=20, attributions=0"
165,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.22, original_words=9, reconstructed=15"
165,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=20"
166,BanglaBERT,IG,token_count_mismatch,"tokens=95, attributions=0"
166,BanglaBERT,IG,unk_token,"unk_count=10, total_tokens=95"
167,BanglaBERT,IG,token_count_mismatch,"tokens=128, attributions=0"
167,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.35, original_words=138, reconstructed=68"
167,BanglaBERT,IG,unk_token,"unk_count=9, total_tokens=128"
168,BanglaBERT,IG,token_count_mismatch,"tokens=25, attributions=0"
168,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.42, original_words=12, reconstructed=16"
169,BanglaBERT,IG,token_count_mismatch,"tokens=11, attributions=0"
169,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=11"
170,BanglaBERT,IG,token_count_mismatch,"tokens=16, attributions=0"
170,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=16"
171,BanglaBERT,IG,token_count_mismatch,"tokens=10, attributions=0"
171,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.00, original_words=3, reconstructed=8"
172,BanglaBERT,IG,token_count_mismatch,"tokens=6, attributions=0"
173,BanglaBERT,IG,token_count_mismatch,"tokens=15, attributions=0"
174,BanglaBERT,IG,token_count_mismatch,"tokens=15, attributions=0"
174,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=15"
175,BanglaBERT,IG,token_count_mismatch,"tokens=7, attributions=0"
176,BanglaBERT,IG,token_count_mismatch,"tokens=12, attributions=0"
177,BanglaBERT,IG,token_count_mismatch,"tokens=12, attributions=0"
178,BanglaBERT,IG,token_count_mismatch,"tokens=28, attributions=0"
178,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=28"
179,BanglaBERT,IG,token_count_mismatch,"tokens=13, attributions=0"
180,BanglaBERT,IG,token_count_mismatch,"tokens=76, attributions=0"
180,BanglaBERT,IG,unk_token,"unk_count=4, total_tokens=76"
181,BanglaBERT,IG,token_count_mismatch,"tokens=6, attributions=0"
181,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.00, original_words=2, reconstructed=4"
182,BanglaBERT,IG,token_count_mismatch,"tokens=9, attributions=0"
183,BanglaBERT,IG,token_count_mismatch,"tokens=8, attributions=0"
184,BanglaBERT,IG,token_count_mismatch,"tokens=9, attributions=0"
185,BanglaBERT,IG,token_count_mismatch,"tokens=52, attributions=0"
185,BanglaBERT,IG,unk_token,"unk_count=3, total_tokens=52"
186,BanglaBERT,IG,token_count_mismatch,"tokens=11, attributions=0"
186,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=11"
187,BanglaBERT,IG,token_count_mismatch,"tokens=13, attributions=0"
188,BanglaBERT,IG,token_count_mismatch,"tokens=10, attributions=0"
188,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.40, original_words=5, reconstructed=5"
189,BanglaBERT,IG,token_count_mismatch,"tokens=9, attributions=0"
190,BanglaBERT,IG,token_count_mismatch,"tokens=4, attributions=0"
190,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.00, original_words=1, reconstructed=1"
191,BanglaBERT,IG,token_count_mismatch,"tokens=14, attributions=0"
191,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.29, original_words=7, reconstructed=11"
192,BanglaBERT,IG,token_count_mismatch,"tokens=7, attributions=0"
193,BanglaBERT,IG,token_count_mismatch,"tokens=13, attributions=0"
194,BanglaBERT,IG,token_count_mismatch,"tokens=7, attributions=0"
194,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.33, original_words=3, reconstructed=5"
195,BanglaBERT,IG,token_count_mismatch,"tokens=6, attributions=0"
196,BanglaBERT,IG,token_count_mismatch,"tokens=22, attributions=0"
196,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.45, original_words=11, reconstructed=13"
197,BanglaBERT,IG,token_count_mismatch,"tokens=69, attributions=0"
197,BanglaBERT,IG,unk_token,"unk_count=3, total_tokens=69"
198,BanglaBERT,IG,token_count_mismatch,"tokens=12, attributions=0"
199,BanglaBERT,IG,token_count_mismatch,"tokens=6, attributions=0"
200,BanglaBERT,IG,token_count_mismatch,"tokens=60, attributions=0"
200,BanglaBERT,IG,unk_token,"unk_count=7, total_tokens=60"
201,BanglaBERT,IG,token_count_mismatch,"tokens=14, attributions=0"
201,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=14"
202,BanglaBERT,IG,token_count_mismatch,"tokens=22, attributions=0"
203,BanglaBERT,IG,token_count_mismatch,"tokens=17, attributions=0"
204,BanglaBERT,IG,token_count_mismatch,"tokens=46, attributions=0"
204,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=46"
205,BanglaBERT,IG,token_count_mismatch,"tokens=13, attributions=0"
205,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.33, original_words=6, reconstructed=8"
205,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=13"
206,BanglaBERT,IG,token_count_mismatch,"tokens=50, attributions=0"
206,BanglaBERT,IG,unk_token,"unk_count=3, total_tokens=50"
207,BanglaBERT,IG,token_count_mismatch,"tokens=10, attributions=0"
208,BanglaBERT,IG,token_count_mismatch,"tokens=38, attributions=0"
208,BanglaBERT,IG,unk_token,"unk_count=4, total_tokens=38"
209,BanglaBERT,IG,token_count_mismatch,"tokens=30, attributions=0"
210,BanglaBERT,IG,token_count_mismatch,"tokens=32, attributions=0"
210,BanglaBERT,IG,unk_token,"unk_count=4, total_tokens=32"
211,BanglaBERT,IG,token_count_mismatch,"tokens=51, attributions=0"
212,BanglaBERT,IG,token_count_mismatch,"tokens=20, attributions=0"
212,BanglaBERT,IG,unk_token,"unk_count=4, total_tokens=20"
213,BanglaBERT,IG,token_count_mismatch,"tokens=18, attributions=0"
213,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=18"
214,BanglaBERT,IG,token_count_mismatch,"tokens=31, attributions=0"
214,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=31"
215,BanglaBERT,IG,token_count_mismatch,"tokens=31, attributions=0"
215,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=31"
216,BanglaBERT,IG,token_count_mismatch,"tokens=15, attributions=0"
216,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.29, original_words=7, reconstructed=10"
217,BanglaBERT,IG,token_count_mismatch,"tokens=16, attributions=0"
217,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=16"
218,BanglaBERT,IG,token_count_mismatch,"tokens=7, attributions=0"
218,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.33, original_words=3, reconstructed=4"
218,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=7"
219,BanglaBERT,IG,token_count_mismatch,"tokens=14, attributions=0"
219,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=14"
